id,cell,cat,num,category,type,baseDifficulty,handDifficulty,footDifficulty,footRating,footLabel,generalUsability,direction,directionLabel,center_x,center_y,boxSize,idealUsage,ideal
1779863784072,"0,0",C,1,climbing holds,jug,3,6,2,1,Heaven,1,180,down,180.93311309814453,1510.2805786132812,103.5018310546875,General,General
1779864118528,"0,0",C,2,climbing holds,jug,3,6,2,1,Heaven,1,180,down,276.30728912353516,1503.3399658203125,88.52001953125,General,General
1779864120773,"0,0",C,3,climbing holds,jug,3,6,4,2,Good,2,180,down,555.8775329589844,1474.6824340820312,64.3201904296875,General,General
1779864124115,"0,0",C,4,climbing holds,jug,1,2,2,1,Heaven,1,225,down-left,275.35204315185547,1364.5101318359375,86.60945129394531,General,General
1779864127074,"0,0",C,5,climbing holds,jug,1,2,4,2,Good,2,180,down,505.8860321044922,1372.4705200195312,56.0413818359375,General,General
1779864129327,"0,0",C,6,climbing holds,jib,4,8,10,5,Hell,10,225,down-left,247.64974975585938,1249.8798828125,51.58355712890625,Hand,Hand
1779864132296,"0,0",C,7,climbing holds,jug,1,2,4,2,Good,2,180,down,560.6537780761719,1249.2430419921875,64.95709228515625,General,General
1779864156305,"0,0",C,8,climbing holds,jug,1,2,2,1,Heaven,1,180,down,179.82689666748047,1128.8814086914062,81.51478576660156,General,General
1779864160105,"0,0",C,9,climbing holds,sloper,3,6,4,2,Good,7,180,down,386.7980499267578,1134.9313354492188,103.16714477539062,Not Ideal,Not Ideal
1779864163240,"0,0",C,10,climbing holds,jug,1,2,4,2,Good,2,225,down-left,581.3508911132812,1137.1602172851562,68.1412353515625,General,General
1779864187056,"0,0",F,1,wall features,crimp,3,6,10,5,Hell,9,45,up-right,420.86866760253906,1333.9420166015625,45.215240478515625,Hand,Hand
1779864190610,"0,0",F,2,wall features,uncategorized,5,10,10,5,Hell,10,315,up-left,513.5280609130859,1299.2345581054688,81.51480102539062,Hand,Hand
1779864194545,"0,0",F,3,wall features,uncategorized,3,6,6,3,Mid,6,45,up-right,332.98553466796875,1185.5596313476562,82.151611328125,Hand,Hand
1779864170961,"0,0",I,1,insert holds,jug,2,4,2,1,Heaven,1,180,down,410.3609161376953,1485.5086059570312,86.60946655273438,General,General
1779864175414,"0,0",I,2,insert holds,pocket,1,2,8,4,Bad,7,270,left,448.88938903808594,1215.8092651367188,80.87796020507812,General,General
1779864213618,"1,0",C,1,climbing holds,jug,1,2,4,2,Good,2,180,down,659.2951049804688,1481.0008544921875,48.3994140625,General,General
1779864216672,"1,0",C,2,climbing holds,jug,3,6,4,2,Good,2,180,down,795.8960571289062,1495.0111694335938,45.2152099609375,General,General
1779864219788,"1,0",C,3,climbing holds,jug,1,2,4,2,Good,2,180,down,1000.6383056640625,1503.2900390625,52.220458984375,General,General
1779864223914,"1,0",C,4,climbing holds,jug,1,2,2,1,Heaven,1,180,down,853.8479919433594,1431.6461791992188,91.06732177734375,General,General
1779864227746,"1,0",C,5,climbing holds,crimp,3,6,10,5,Hell,9,135,down-right,642.7374267578125,1314.1502685546875,50.94677734375,Hand,Hand
1779864231882,"1,0",C,6,climbing holds,pocket,2,4,8,4,Bad,8,180,down,1015.9223022460938,1283.900634765625,78.9674072265625,Hand,Hand
1779864236131,"1,0",C,7,climbing holds,jug,1,2,4,2,Good,2,315,up-left,644.0110778808594,1128.1947021484375,67.50439453125,General,General
1779864240098,"1,0",C,8,climbing holds,crimp,5,10,10,5,Hell,10,180,down,764.0543518066406,1138.702392578125,112.71966552734375,Hand,Hand
1779864242938,"1,0",C,9,climbing holds,crimp,4,8,10,5,Hell,10,315,up-left,881.55029296875,1191.2412719726562,59.8624267578125,Hand,Hand
1779864246120,"1,0",C,10,climbing holds,pinch,1,2,6,3,Mid,6,135,down-right,1031.2063598632812,1136.4735107421875,86.6094970703125,General,General
1779864281776,"1,0",F,1,wall features,uncategorized,5,10,8,4,Bad,9,315,up-left,709.28662109375,1367.9627685546875,129.27734375,Not Ideal,Not Ideal
1779864286504,"1,0",F,2,wall features,crimp,4,8,10,5,Hell,10,135,down-right,841.4297180175781,1281.034912109375,91.70416259765625,Hand,Hand
1779864255662,"1,0",I,1,insert holds,crimp,4,8,10,5,Hell,10,180,down,728.0732116699219,1256.1983032226562,86.60943603515625,Hand,Hand
1779864271914,"1,0",I,2,insert holds,jug,5,10,2,1,Heaven,1,180,down,990.1305236816406,1403.3070678710938,84.69891357421875,General,General
1779864299271,"2,0",C,1,climbing holds,jug,1,2,2,1,Heaven,1,180,down,1107.2098999023438,1499.5460205078125,92.8114013671875,General,General
1779864301402,"2,0",C,2,climbing holds,crimp,4,8,10,5,Hell,10,180,down,1247.0416259765625,1513.0681762695312,50.40087890625,Hand,Hand
1779864305232,"2,0",C,3,climbing holds,jug,2,4,2,1,Heaven,1,180,down,1465.2406005859375,1517.0633544921875,102.031005859375,General,General
1779864309504,"2,0",C,4,climbing holds,jug,1,2,2,1,Heaven,1,180,down,1089.3851928710938,1391.0611572265625,80.5184326171875,General,General
1779864311986,"2,0",C,5,climbing holds,jug,1,2,4,2,Good,2,180,down,1310.6574096679688,1393.21240234375,64.5377197265625,General,General
1779864316728,"2,0",C,6,climbing holds,crimp,1,2,10,5,Hell,7,135,down-right,1376.7317504882812,1315.7671508789062,54.0887451171875,General,General
1779864320002,"2,0",C,7,climbing holds,crimp,4,8,10,5,Hell,10,180,down,1107.8245849609375,1229.7168579101562,68.2255859375,Hand,Hand
