cell_x,cell_y,category,num,type,difficulty,direction
0,0,climbing holds,1,jug,3,0
0,0,climbing holds,10,jug,1,225
0,0,climbing holds,2,jug,3,180
0,0,climbing holds,3,jug,3,180
0,0,climbing holds,4,jug,1,225
0,0,climbing holds,5,jug,1,180
0,0,climbing holds,6,jib,4,225
0,0,climbing holds,7,jug,1,180
0,0,climbing holds,8,jug,1,180
0,0,climbing holds,9,sloper,3,180
0,0,insert holds,1,jug,2,180
0,0,insert holds,2,pocket,1,270
0,0,wall features,1,crimp,3,45
0,0,wall features,2,uncategorized,5,315
0,0,wall features,3,uncategorized,3,45
0,1,climbing holds,1,crimp,2,225
0,1,climbing holds,2,pinch,2,225
0,1,climbing holds,3,pinch,3,180
0,1,climbing holds,4,sloper,4,180
0,1,climbing holds,5,jug,1,180
0,1,climbing holds,6,pinch,1,225
0,1,climbing holds,7,crimp,3,270
0,1,insert holds,1,crimp,2,135
0,1,wall features,1,crimp,4,90
0,1,wall features,10,jug,3,0
0,1,wall features,11,jug,2,180
0,1,wall features,12,jug,1,180
0,1,wall features,13,jug,1,90
0,1,wall features,14,jug,3,270
0,1,wall features,15,crimp,4,90
0,1,wall features,16,crimp,5,225
0,1,wall features,17,crimp,3,90
0,1,wall features,18,crimp,3,90
0,1,wall features,19,pocket,4,90
0,1,wall features,2,pocket,4,90
0,1,wall features,20,pocket,3,180
0,1,wall features,21,sloper,3,180
0,1,wall features,22,pinch,3,180
0,1,wall features,23,crimp,4,180
0,1,wall features,24,crimp,5,180
0,1,wall features,25,jug,1,180
0,1,wall features,26,crimp,5,180
0,1,wall features,27,jug,1,180
0,1,wall features,28,pinch,4,180
0,1,wall features,29,crimp,5,180
0,1,wall features,3,pocket,5,90
0,1,wall features,30,crimp,4,90
0,1,wall features,31,crimp,5,270
0,1,wall features,32,crimp,5,135
0,1,wall features,33,crimp,4,90
0,1,wall features,34,pinch,3,90
0,1,wall features,35,crimp,5,180
0,1,wall features,36,crimp,5,270
0,1,wall features,37,crimp,5,180
0,1,wall features,38,pinch,4,90
0,1,wall features,39,crimp,4,180
0,1,wall features,4,crimp,3,180
0,1,wall features,40,crimp,2,225
0,1,wall features,41,crimp,5,180
0,1,wall features,42,crimp,3,180
0,1,wall features,43,crimp,5,180
0,1,wall features,44,crimp,4,180
0,1,wall features,45,uncategorized,4,180
0,1,wall features,5,crimp,5,180
0,1,wall features,6,pocket,5,270
0,1,wall features,7,pocket,5,270
0,1,wall features,8,pocket,5,90
0,1,wall features,9,pocket,5,90
0,2,climbing holds,1,jug,1,135
0,2,climbing holds,2,crimp,1,180
0,2,climbing holds,3,pinch,3,135
0,2,climbing holds,4,jug,2,90
0,2,climbing holds,5,jug,1,180
0,2,climbing holds,6,pinch,5,135
0,2,climbing holds,7,jug,1,180
0,2,climbing holds,8,crimp,1,180
0,2,climbing holds,9,crimp,2,180
0,2,insert holds,1,jug,4,180
0,2,insert holds,2,pocket,1,180
0,2,wall features,1,uncategorized,3,180
0,2,wall features,10,crimp,5,225
0,2,wall features,11,uncategorized,5,0
0,2,wall features,12,uncategorized,5,180
0,2,wall features,13,uncategorized,3,180
0,2,wall features,14,uncategorized,5,180
